,name,developer,platform,genre,total_sales,na_sales,eu_sales,japan_sales,other_sales,release_year
11055, Superstars V8 Racing     ,Milestone S.r.l  ,X360,Racing,0.01,0.01,0.01,0.01,0.00,2009
11056, Cars 3: Driven to Win     ,Avalanche Software  ,PS3,Racing,0.01,0.01,0.01,0.01,0.00,2017
11057, Sébastien Loeb Rally EVO     ,Milestone S.r.l  ,XOne,Racing,0.01,0.01,0.01,0.01,0.00,2016
11058, Sega Rally Revo     ,Sega Racing Studio  ,PC,Racing,0.01,0.01,0.01,0.01,0.00,2007
11059, F1 2018     ,Codemasters Birmingham  ,PC,Racing,0.01,0.01,0.01,0.01,0.00,2018
11060, Micro Machines V4     ,Supersonic Software  ,PS2,Racing,0.01,0.01,0.00,0.01,0.00,2006
11061, SBK Superbike World Championship     ,Milestone  ,PSP,Racing,0.01,0.01,0.00,0.01,0.00,2009
11062, Karnaaj Rally     ,Paragon 5  ,GBA,Racing,0.01,0.01,0.00,0.01,0.00,2003
11063, Full Auto 2: Battlelines     ,Deep Fried Entertainment  ,PSP,Racing,0.01,0.00,0.00,0.01,0.00,2007
11064, Yattaman Wii: BikkuriDokkiri Machine de Mou Race da Koron     ,Takara Tomy  ,Wii,Racing,0.01,0.01,0.01,0.01,0.01,2008
11065, ATV Renegades     ,Nighthawk Interactive  ,PS4,Racing,0.01,0.01,0.01,0.01,0.00,2017
11066, SCORE International Baja 1000: The Official Game     ,Left Field Productions  ,PS2,Racing,0.01,0.00,0.00,0.01,0.00,2008
11067, Mini Desktop Racing     ,DDI  ,Wii,Racing,0.01,0.01,0.00,0.01,0.00,2007
11068, Import Tuner Challenge (JP sales)     ,Genki  ,X360,Racing,0.01,0.01,0.01,0.01,0.01,2006
11069, Crusty Demons     ,Climax Group  ,XB,Racing,0.01,0.01,0.00,0.01,0.00,2006
11070, Pocket Racers     ,Blade Interactive  ,PSP,Racing,0.01,0.01,0.01,0.01,0.00,2006
11071, Sideswiped     ,Recom  ,DS,Racing,0.01,0.01,0.01,0.01,0.00,2009
11072, Sébastien Loeb Rally EVO     ,Milestone S.r.l  ,PC,Racing,0.01,0.01,0.01,0.01,0.00,2016
11073, MotoGP 15     ,Milestone S.r.l.  ,X360,Racing,0.01,0.01,0.01,0.01,0.00,2015
11074, Trailblazers     ,Supergonk  ,NS,Racing,0.01,0.01,0.01,0.01,0.00,2018
11075, MotoGP 3: Ultimate Racing Technology     ,Climax Group  ,XB,Racing,0.01,0.01,0.00,0.01,0.00,2005
11076, V-Rally 4     ,Kylotonn  ,PS4,Racing,0.01,0.01,0.01,0.01,0.00,2018
11077, Moto Racer 4     ,Microids  ,PS4,Racing,0.01,0.01,0.01,0.01,0.00,2017
11078, bit Generations: Dotstream     ,skip Ltd.  ,GBA,Racing,0.01,0.01,0.01,0.01,0.00,2006
11079, Colin McRae Rally 2005 plus     ,Six by Nine  ,PSP,Racing,0.01,0.01,0.00,0.01,0.00,2005
11080, Superstars V8 Next Challenge     ,Milestone S.r.l.  ,X360,Racing,0.01,0.00,0.01,0.01,0.00,2011
11081, Action Girlz Racing     ,Data Design Interactive  ,Wii,Racing,0.01,0.01,0.00,0.01,0.00,2008
11082, WRC 5: FIA World Rally Championship     ,Kylotonn Entertainment  ,X360,Racing,0.01,0.01,0.01,0.01,0.00,2015
11083, Asphalt: Urban GT 2     ,Game Source  ,PSP,Racing,0.01,0.01,0.01,0.01,0.00,0
11084, V-Rally 4     ,Kylotonn  ,XOne,Racing,0.01,0.01,0.01,0.01,0.00,2018
11085, Maximum Racing: Super Karts     ,Nordic Games Publishing  ,Wii,Racing,0.01,0.01,0.00,0.01,0.00,2011
11086, Rig Racer 2     ,Data Design Interactive  ,Wii,Racing,0.01,0.01,0.01,0.01,0.00,2008
11087, Sega Rally Championship     ,Sega  ,GBA,Racing,0.01,0.01,0.00,0.01,0.00,2003
11088, City Racer     ,Ubisoft  ,GC,Racing,0.01,0.01,0.00,0.01,0.00,2003
11089, Maximum Racing: Super Truck Racer     ,Brain in a Jar  ,Wii,Racing,0.01,0.01,0.01,0.01,0.00,2011
11090, Micro Machines V4     ,Supersonic Software  ,DS,Racing,0.01,0.01,0.00,0.01,0.00,2007
11091, MotoGP 08     ,MileStone Inc.  ,PC,Racing,0.01,0.01,0.01,0.01,0.00,2008
11092, Maximum Racing: Sprint Cars     ,Brain in a Jar  ,Wii,Racing,0.01,0.01,0.01,0.01,0.00,2011
11093, FlatOut     ,Team6 Game Studios  ,Wii,Racing,0.01,0.01,0.01,0.01,0.00,2010
11094, MotorStorm Complete     ,Evolution Studios  ,PS3,Racing,0.01,0.01,0.01,0.01,0.01,2008
11095, Hello Kitty Kruisers     ,Scarab  ,WiiU,Racing,0.01,0.01,0.01,0.01,0.00,2014
11096, WRC 5: FIA World Rally Championship     ,Kylotonn Entertainment  ,PC,Racing,0.01,0.01,0.01,0.01,0.00,2015
11097, Mini Yonkyu DS     ,Rocket Company  ,DS,Racing,0.01,0.01,0.01,0.01,0.01,2009
11098, ATV Drift & Tricks     ,Artefacts Studio  ,NS,Racing,0.01,0.01,0.01,0.01,0.00,2018
11099, Auto Modellista     ,Capcom  ,XB,Racing,0.01,0.00,0.00,0.01,0.00,2004
11100, nail'd     ,Techland  ,PC,Racing,0.01,0.01,0.01,0.01,0.00,2010
11101, Maximum Racing: Rally Racer     ,Brain in a Jar  ,Wii,Racing,0.01,0.01,0.01,0.01,0.00,2011
11102, SBK09 Superbike World Championship      ,Milestone  ,X360,Racing,0.01,0.01,0.01,0.01,0.00,2009
11103, ATV Renegades     ,Nighthawk Interactive  ,XOne,Racing,0.01,0.00,0.01,0.01,0.00,2017
11104, Spy Hunter: Nowhere To Run     ,Terminal Reality  ,XB,Racing,0.01,0.00,0.00,0.01,0.00,2006
11105, Shinseiki GPX Cyber Formula VS     ,Sunrise Interactive  ,PSP,Racing,0.01,0.01,0.01,0.01,0.01,2008
11106, F1 Grand Prix     ,Traveller's Tales  ,PSP,Racing,0.00,0.01,0.00,0.01,0.00,2005
11107, Superstars V8 Next Challenge     ,Milestone S.r.l.  ,PS3,Racing,0.00,0.01,0.00,0.01,0.00,2011
11108, XS Moto     ,DC Studios  ,GBA,Racing,0.00,0.00,0.00,0.01,0.00,2004
11109, Spy Hunter     ,Midway Games  ,GBA,Racing,0.00,0.00,0.00,0.01,0.00,2002
11110, Pimp My Ride     ,Eutechnyx  ,PSP,Racing,0.00,0.00,0.00,0.01,0.00,2007
11111, Super Sonic Racer     ,Zoo Games  ,Wii,Racing,0.00,0.00,0.01,0.01,0.00,2011
11112, Cars 2     ,Avalanche Software  ,PC,Racing,0.00,0.00,0.01,0.01,0.00,2011
11113, Micro Machines: World Series     ,Codemasters  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2017
11114, TOCA Race Driver 3 Challenge     ,Codemasters  ,PSP,Racing,0.00,0.01,0.00,0.01,0.00,2007
11115, Monster 4X4: World Circuit     ,Ubisoft Montreal  ,XB,Racing,0.00,0.00,0.00,0.01,0.00,2006
11116, London Taxi: Rushour     ,Data Design Interactive  ,Wii,Racing,0.00,0.00,0.00,0.01,0.00,2008
11117, Jungle Kartz     ,Brain in a Jar  ,Wii,Racing,0.00,0.01,0.00,0.01,0.00,2011
11118, IGPX: Immortal Grand Prix     ,Namco Bandai Games  ,PS2,Racing,0.00,0.00,0.00,0.01,0.00,2006
11119, Offroad Extreme! Special Edition     ,Data Design Interactive  ,Wii,Racing,0.00,0.00,0.00,0.01,0.00,2007
11120, DT Carnage     ,Axis Entertainment  ,Wii,Racing,0.00,0.00,0.01,0.01,0.00,2009
11121, Crash Time III     ,Synetic  ,X360,Racing,0.00,0.01,0.00,0.01,0.00,2010
11122, 18 Wheels of Steel: Triple Pack     ,SCS Software  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2011
11123, RC de GO!     ,Taito Corporation  ,PS,Racing,0.00,0.00,0.00,0.01,0.00,2001
11124, Sonic & All-Stars Racing Transformed     ,Sumo Digital  ,3DS,Racing,0.00,0.01,0.00,0.01,0.00,2013
11125, Pure (JP sales)     ,Black Rock Studio  ,PS3,Racing,0.00,0.01,0.01,0.00,0.01,2009
11126, Shrek Smash n' Crash Racing     ,Torus Games  ,DS,Racing,0.00,0.01,0.00,0.01,0.00,2007
11127, Antz Extreme Racing     ,Magic Pockets  ,GBA,Racing,0.00,0.00,0.00,0.01,0.00,2002
11128, Racing Team Manager     ,Kalypso Media  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2008
11129, Ford Bold Moves Street Racing     ,Razorworks Studios  ,PS2,Racing,0.00,0.00,0.00,0.01,0.00,2006
11130, Driv3r     ,Reflections Interactive  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2005
11131, Days of Thunder: NASCAR Edition     ,Piranha Games  ,PS3,Racing,0.00,0.00,0.01,0.01,0.00,2011
11132, Cruis'n Velocity     ,Graphic State  ,GBA,Racing,0.00,0.00,0.00,0.01,0.00,2001
11133, WRC 4: FIA World Rally Championship     ,Milestone S.r.l.  ,PSV,Racing,0.00,0.01,0.00,0.01,0.00,2014
11134, Grand Trucker Aniki: Shigoto to Kenka to Koimoyou     ,Rize Dragon  ,DS,Racing,0.00,0.01,0.01,0.00,0.01,2009
11135, Pure (JP sales)     ,Black Rock Studio  ,X360,Racing,0.00,0.01,0.01,0.00,0.01,2009
11136, World Racing 2     ,Synetic  ,XB,Racing,0.00,0.00,0.00,0.01,0.00,2006
11137, GTR 2: FIA GT Racing Game     ,SimBin  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2006
11138, Vin Diesel: Wheelman     ,Tigon  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2009
11139, Driving Simulator     ,Excalibur Publishing Limited  ,PC,Racing,0.00,0.01,0.00,0.01,0.01,2010
11140, World Racing 2     ,Synetic  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2006
11141, The Simpsons: Hit & Run     ,Radical Entertainment  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2003
11142, SBK09 Superbike World Championship      ,Milestone  ,PSP,Racing,0.00,0.01,0.00,0.01,0.00,2009
11143, 3D Pixel Racing     ,Microforum  ,WW,Racing,0.00,0.00,0.01,0.01,0.00,2011
11144, 18 Wheels of Steel: American Long Haul     ,SCS Software  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2007
11145, Classic British Motor Racing     ,DDI  ,Wii,Racing,0.00,0.00,0.00,0.01,0.00,2007
11146, Stuntman Ignition     ,Paradigm Entertainment  ,PSN,Racing,0.00,0.01,0.00,0.01,0.00,0
11147, Crazy Frog Racer     ,Digital Jesters  ,DS,Racing,0.00,0.01,0.00,0.01,0.00,2006
11148, The Italian Job     ,Pixelogic  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2002
11149, Inspector Gadget Racing     ,Bit Managers  ,GBA,Racing,0.00,0.00,0.00,0.01,0.00,2003
11150, Juiced     ,Juice Games  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2005
11151, Driver: Parallel Lines     ,Reflections Interactive  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2007
11152, 4x4 Hummer     ,1C Company / Avalon Style  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2009
11153, Midtown Madness 2     ,Angel Studios  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2000
11154, SRS: Street Racing Syndicate     ,Raylight Studios  ,GBA,Racing,0.00,0.00,0.00,0.01,0.00,2005
11155, Bigfoot: Collision Course     ,Destination Software  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,0
11156, Ferrari: The Race Experience     ,Eutechnyx  ,PSN,Racing,0.00,0.01,0.00,0.01,0.00,2011
11157, Colin McRae Rally 3     ,Codemasters  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2003
11158, TOCA Race Driver 2: Ultimate Racing Simulator     ,Codemasters  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2004
11159, 18 Wheels of Steel: Convoy     ,SCS Software  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2005
11160, Need for Speed: Hot Pursuit 2     ,EA Black Box  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2002
11161, FlatOut 2     ,Bugbear Entertainment  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2006
11162, Ford Racing Off Road     ,Razorworks Studios  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2008
11163, Gadget Racers     ,Takara  ,GBA,Racing,0.00,0.00,0.00,0.01,0.00,2001
11164, rFactor     ,Image Space Inc.  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2005
11165, Sonic Riders     ,Sonic Team  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2006
11166, Crash Time 4: The Syndicate     ,Synetic  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2010
11167, Colin McRae Rally 2.0     ,Codemasters  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2001
11168, GT-R 400     ,Kuju Entertainment  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2006
11169, RalliSport Challenge     ,Digital Illusions  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2002
11170, Ford Bold Moves Street Racing     ,Razorworks Studios  ,XB,Racing,0.00,0.00,0.00,0.01,0.00,2006
11171, Crazy Taxi 3     ,Hitmaker  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2020
11172, Evolution GT     ,MileStone Inc.  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2006
11173, F1 2002     ,Image Space Inc.  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2002
11174, FlatOut     ,Bugbear Entertainment  ,PC,Racing,0.00,0.00,0.00,0.01,0.01,2005
11175, LEGO Racers 2     ,Attention To Detail  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2001
11176, LEGO Racers 2     ,Pocket Studios  ,GBA,Racing,0.00,0.00,0.00,0.01,0.00,2001
11177, Spinout     ,Icon Games  ,PSP,Racing,0.00,0.01,0.00,0.01,0.00,2008
11178, TrackMania     ,Nadeo  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2004
11179, Top Gear GT Championship     ,Kemco  ,GBA,Racing,0.00,0.00,0.00,0.01,0.00,2001
11180, Rayman Arena     ,Ubisoft  ,PC,Racing,0.00,0.01,0.00,0.01,0.01,2002
11181, Superstars V8 Next Challenge     ,Milestone S.r.l.  ,PC,Racing,0.00,0.00,0.01,0.01,0.00,2011
11182, Superstars V8 Racing     ,Milestone S.r.l  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2009
11183, Hard Truck 2     ,ValuSoft  ,PC,Racing,0.00,0.01,0.00,0.01,0.01,2001
11184, MotoGP 18     ,Milestone S.r.l  ,PC,Racing,0.00,0.01,0.00,0.01,0.00,2018
11185, 18 Wheels of Steel: Haulin'     ,SCS Software  ,PC,Racing,0.00,0.01,0.00,0.01,0.01,2006
11186, Disney Sports Motocross     ,Konami  ,GBA,Racing,0.00,0.00,0.01,0.01,0.01,2003
11187, The Elder Scrolls V: Skyrim     ,Bethesda Game Studios  ,X360,Role-Playing,8.88,5.10,2.83,0.10,0.85,2011
11188, Fallout 4     ,Bethesda Game Studios  ,PS4,Role-Playing,8.48,2.91,3.97,0.27,1.34,2015
11189, The Elder Scrolls V: Skyrim     ,Bethesda Game Studios  ,PS3,Role-Playing,6.49,2.57,2.68,0.25,0.99,2011
11190, Final Fantasy XIII    Read the review ,Square Enix  ,PS3,Role-Playing,5.35,1.75,1.23,1.87,0.51,2010
11191, Fable III    Read the review ,Lionhead Studios  ,X360,Role-Playing,5.10,3.59,1.09,0.05,0.37,2010
11192, Final Fantasy XV     ,Square Enix  ,PS4,Role-Playing,5.07,1.81,1.53,1.05,0.68,2016
11193, Fallout 4     ,Bethesda Game Studios  ,XOne,Role-Playing,5.03,2.94,1.62,0.02,0.45,2015
11194, Fallout 3    Read the review ,Bethesda Game Studios  ,X360,Role-Playing,4.96,3.41,0.99,0.09,0.46,2008
11195, The Elder Scrolls IV: Oblivion    Read the review ,Bethesda Softworks  ,X360,Role-Playing,4.47,2.89,1.03,0.13,0.41,2009
11196, Fallout: New Vegas    Read the review ,Obsidian Entertainment  ,X360,Role-Playing,4.08,2.67,1.03,0.04,0.34,2010
11197, Fallout 3    Read the review ,Bethesda Game Studios  ,PS3,Role-Playing,4.00,2.18,1.15,0.07,0.61,2008
11198, The Elder Scrolls V: Skyrim    Read the review ,Bethesda Game Studios  ,PC,Role-Playing,3.99,1.18,2.25,0.01,0.56,2011
11199, The Elder Scrolls V: Skyrim Special Edition     ,Bethesda Softworks  ,PS4,Role-Playing,3.36,1.24,1.50,0.08,0.54,2016
11200, Fallout: New Vegas     ,Obsidian Entertainment  ,PS3,Role-Playing,3.17,1.54,1.04,0.10,0.49,2010
11201, The Elder Scrolls IV: Oblivion    Read the review ,4J Studios  ,PS3,Role-Playing,3.12,1.69,0.86,0.14,0.44,2007
11202, Mass Effect 2     Read the review ,BioWare Edmonton  ,X360,Role-Playing,3.10,1.99,0.81,0.03,0.27,2010
11203, Mass Effect 3    Read the review ,BioWare  ,X360,Role-Playing,3.04,1.94,0.84,0.03,0.24,2012
11204, Mass Effect    Read the review ,BioWare Edmonton  ,X360,Role-Playing,2.91,1.83,0.79,0.03,0.27,2007
11205, The Elder Scrolls III: Morrowind     ,Bethesda Softworks  ,XB,Role-Playing,2.86,2.09,0.63,0.03,0.11,2002
11206, Diablo III: Ultimate Evil Edition     ,Blizzard Entertainment  ,PS4,Role-Playing,2.82,0.83,1.48,0.08,0.44,2014
11207, Final Fantasy XIII-2    Read the review ,Square Enix  ,PS3,Role-Playing,2.66,0.78,0.75,0.89,0.23,2012
11208, Dragon Age: Origins    Read the review ,BioWare Edmonton  ,X360,Role-Playing,2.56,1.76,0.55,0.03,0.22,2009
11209, Marvel: Ultimate Alliance     ,Raven Software  ,X360,Role-Playing,2.50,2.29,0.02,0.01,0.19,2006
11210, Dragon Age: Inquisition     ,BioWare Edmonton  ,PS4,Role-Playing,2.34,1.07,0.80,0.08,0.38,2014
11211, Final Fantasy XIII    Read the review ,Square Enix  ,X360,Role-Playing,2.19,1.30,0.67,0.01,0.21,2010
11212, Star Wars: Knights of the Old Republic     ,BioWare Corp.  ,XB,Role-Playing,2.19,1.68,0.44,0.01,0.08,2003
11213, Yu-Gi-Oh: Duel Monsters 4     ,Konami  ,GB,Role-Playing,2.18,0.01,0.01,2.17,0.01,2000
11214, Dark Souls    Read the review ,From Software  ,PS3,Role-Playing,2.05,0.75,0.53,0.54,0.22,2011
11215, Dragon Quest XI: Echoes of an Elusive Age     ,Square Enix  ,PS4,Role-Playing,2.04,0.29,0.22,1.43,0.10,2018
11216, X-Men Legends     ,Raven Software  ,PS2,Role-Playing,1.93,1.00,0.72,0.01,0.21,2004
11217, Yu-Gi-Oh! Forbidden Memories     ,KCEJ  ,PS,Role-Playing,1.88,1.37,0.44,0.01,0.08,2002
11218, The Legend of Dragoon     ,SCEI  ,PS,Role-Playing,1.86,0.94,0.44,0.39,0.10,2000
11219, The Elder Scrolls V: Skyrim Special Edition     ,Bethesda Softworks  ,XOne,Role-Playing,1.83,1.13,0.53,0.01,0.17,2016
11220, Dragon Quest XI     ,Square Enix  ,3DS,Role-Playing,1.82,0.01,0.01,1.82,0.01,2017
11221, Dragon's Dogma    Read the review ,Capcom  ,PS3,Role-Playing,1.76,0.41,0.48,0.72,0.16,2012
11222, Dragon Ball Z: The Legacy of Goku     ,Webfoot Technologies  ,GBA,Role-Playing,1.69,1.52,0.12,0.01,0.05,2002
11223, Dragon Age: Origins    Read the review ,BioWare Edmonton  ,PS3,Role-Playing,1.67,0.96,0.42,0.08,0.21,2009
11224, Persona 5     ,Atlus  ,PS4,Role-Playing,1.64,0.62,0.34,0.48,0.20,2017
11225, Dark Cloud     ,Level 5  ,PS2,Role-Playing,1.54,0.83,0.44,0.08,0.19,2001
11226, Mass Effect: Andromeda     ,BioWare Corp.  ,PS4,Role-Playing,1.49,0.58,0.67,0.01,0.25,2017
11227, Mass Effect 3     ,BioWare  ,PS3,Role-Playing,1.46,0.65,0.58,0.03,0.20,2012
11228, Mass Effect 2     ,BioWare Edmonton  ,PS3,Role-Playing,1.46,0.78,0.46,0.03,0.18,2011
11229, South Park: The Fractured But Whole     ,Ubisoft San Francisco  ,PS4,Role-Playing,1.43,0.62,0.57,0.01,0.24,2017
11230, Star Wars Knights of the Old Republic II: The Sith Lords     ,Obsidian Entertainment  ,XB,Role-Playing,1.37,0.99,0.33,0.01,0.05,2004
11231, Fallout 76    Read the review ,Bethesda Game Studios  ,PS4,Role-Playing,1.32,0.52,0.49,0.10,0.20,2018
11232, Yu-Gi-Oh! The Sacred Cards     ,Konami  ,GBA,Role-Playing,1.30,0.94,0.35,0.01,0.02,2003
11233, Digimon World     ,Bandai  ,PS,Role-Playing,1.30,0.56,0.38,0.28,0.08,2000
11234, Mega Man Battle Network 3 Blue / White Version     ,Capcom  ,GBA,Role-Playing,1.29,0.39,0.02,0.85,0.03,2003
11235, Dark Souls II    Read the review ,From Software  ,PS3,Role-Playing,1.29,0.38,0.35,0.41,0.15,2015
11236, Champions of Norrath     ,Snowblind Studios  ,PS2,Role-Playing,1.28,0.63,0.49,0.01,0.16,2004
11237, .hack//Infection Part 1     ,CyberConnect2  ,PS2,Role-Playing,1.27,0.49,0.38,0.26,0.13,2003
11238, Dragon Ball: Daimaou Fukkatsu     ,TOSE  ,NES,Role-Playing,1.25,0.01,0.01,1.25,0.00,1988
11239, Gegege no Kitarou 2: Youkai Gundan no Chousen     ,Bandai  ,NES,Role-Playing,1.25,0.01,0.01,1.25,0.00,1987
11240, Baldur's Gate: Dark Alliance     ,Snowblind Studios  ,PS2,Role-Playing,1.24,0.61,0.48,0.01,0.16,2001
11241, Inazuma Eleven 2: Kyoui no Shinryokusha - Fire / Blizzard     ,Level 5  ,DS,Role-Playing,1.18,0.01,0.01,1.18,0.01,2009
11242, Yu-Gi-Oh! The Sacred Cards (American and Others sales)     ,Konami  ,GBA,Role-Playing,1.16,0.84,0.27,0.01,0.05,2003
11243, The Elder Scrolls V: Skyrim     ,Bethesda Softworks  ,NS,Role-Playing,1.15,0.67,0.32,0.06,0.10,2017
11244, Dragon Quest VIII: Journey of the Cursed King     ,Level 5 / Armor Project  ,3DS,Role-Playing,1.15,0.14,0.11,0.88,0.02,2017
11245, Brave Fencer Musashi     ,SquareSoft  ,PS,Role-Playing,1.14,0.25,0.17,0.65,0.07,1998
11246, Final Fantasy XV     ,Square Enix  ,XOne,Role-Playing,1.14,0.72,0.30,0.01,0.11,2016
11247, The Elder Scrolls V: Skyrim VR     ,Bethesda Softworks  ,PS4,Role-Playing,1.13,0.47,0.47,0.01,0.19,2017
11248, Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales)     ,ChunSoft  ,GBA,Role-Playing,1.13,0.81,0.30,0.01,0.02,2006
11249, Dragon Age II     ,BioWare Corp.  ,X360,Role-Playing,1.12,0.72,0.29,0.01,0.09,2011
11250, Famicom Jump: Eiyuu Retsuden     ,TOSE  ,NES,Role-Playing,1.10,0.01,0.01,1.10,0.00,1989
11251, Untold Legends: Brotherhood of the Blade     ,Sony Online Entertainment  ,PSP,Role-Playing,1.09,0.54,0.33,0.01,0.22,2005
11252, Dragon Ball Z: The Legacy of Goku II     ,Webfoot Technologies  ,GBA,Role-Playing,1.09,0.78,0.29,0.01,0.02,2003
11253, Arc the Lad II     ,ARC Entertainment  ,PS,Role-Playing,1.05,0.01,0.01,0.92,0.13,1996
11254, Diablo III: Ultimate Evil Edition     ,Blizzard Entertainment  ,XOne,Role-Playing,1.04,0.62,0.32,0.01,0.09,2014
11255, The Elder Scrolls III: Morrowind Game of the Year Edition     ,Bethesda Softworks  ,XB,Role-Playing,1.03,0.77,0.22,0.01,0.04,2003
11256, Pokémon Conquest    Read the review ,Tecmo Koei Games  ,DS,Role-Playing,1.02,0.56,0.05,0.37,0.05,2012
11257, Breath of Fire III     ,Capcom  ,PS,Role-Playing,1.00,0.29,0.19,0.46,0.07,1998
11258, Tales of Graces f    Read the review ,Namco Tales Studio  ,PS3,Role-Playing,0.99,0.28,0.19,0.45,0.07,2012
11259, Dragon Age: Inquisition     ,BioWare Edmonton  ,XOne,Role-Playing,0.99,0.63,0.27,0.00,0.09,2014
11260, Suikoden III     ,KCET  ,PS2,Role-Playing,0.98,0.29,0.23,0.38,0.08,2002
11261, Fallout 3    Read the review ,Bethesda Game Studios  ,PC,Role-Playing,0.98,0.02,0.88,0.01,0.07,2008
11262, The Witcher 2: Assassins of Kings    Read the review ,CD Projekt Red Studio  ,PC,Role-Playing,0.98,0.27,0.56,0.01,0.14,2011
11263, South Park: The Stick of Truth     ,Obsidian Entertainment  ,PS3,Role-Playing,0.97,0.44,0.36,0.01,0.16,2014
11264, Dark Cloud 2     ,Level 5  ,PS2,Role-Playing,0.96,0.38,0.25,0.26,0.07,2003
11265, Mass Effect 3     ,BioWare  ,PC,Role-Playing,0.96,0.40,0.45,0.01,0.11,2012
11266, South Park: The Stick of Truth     ,Obsidian Entertainment  ,X360,Role-Playing,0.96,0.60,0.27,0.01,0.09,2014
11267, Mega Man Star Force Dragon / Leo / Pegasus     ,Capcom  ,DS,Role-Playing,0.95,0.39,0.00,0.53,0.03,2007
11268, Wild ARMs     ,Media.Vision  ,PS,Role-Playing,0.95,0.26,0.17,0.46,0.06,1997
11269, White Knight Chronicles: International Edition    Read the review ,Level 5  ,PS3,Role-Playing,0.95,0.34,0.16,0.36,0.09,2010
11270, SaGa Frontier 2     ,SquareSoft  ,PS,Role-Playing,0.94,0.10,0.07,0.71,0.06,2000
11271, Kingdom Hearts Re:coded    Read the review ,High Horse Entertainment  ,DS,Role-Playing,0.93,0.53,0.09,0.27,0.05,2011
11272, Fallout 76     ,Bethesda Game Studios  ,XOne,Role-Playing,0.93,0.59,0.26,0.01,0.09,2018
11273, Xenoblade Chronicles    Read the review ,Monolith Soft  ,Wii,Role-Playing,0.92,0.43,0.25,0.16,0.07,2012
11274, Blue Dragon     ,Mistwalker Corporation / Artoon  ,X360,Role-Playing,0.92,0.30,0.33,0.21,0.08,2007
11275, The Witcher 2: Assassins of Kings    Read the review ,CD Projekt Red Studio  ,X360,Role-Playing,0.90,0.48,0.33,0.02,0.08,2012
11276, Lost Odyssey     ,Mistwalker Corporation / Feelplus Inc.  ,X360,Role-Playing,0.90,0.45,0.26,0.11,0.08,2008
11277, Marvel: Ultimate Alliance 2     ,Vicarious Visions  ,X360,Role-Playing,0.90,0.68,0.15,0.01,0.08,2009
11278, Final Fantasy X / X-2 HD Remaster     ,Square Enix  ,PS4,Role-Playing,0.90,0.34,0.36,0.07,0.14,2015
11279, X-Men Legends     ,Raven Software  ,XB,Role-Playing,0.90,0.62,0.24,0.01,0.04,2004
11280, Ni no Kuni II: Revenant Kingdom     ,Level 5  ,PS4,Role-Playing,0.89,0.33,0.31,0.12,0.13,2018
11281, Fossil Fighters     ,RED Entertainment  ,DS,Role-Playing,0.89,0.83,0.01,0.01,0.06,2009
11282, Seiken Densetsu 3     ,SquareSoft  ,SNES,Role-Playing,0.89,0.01,0.01,0.89,0.00,1995
11283, The Lord of the Rings: War in the North     ,Snowblind Studios  ,X360,Role-Playing,0.88,0.55,0.24,0.00,0.08,2011
11284, Sonic Chronicles: The Dark Brotherhood     ,BioWare Corp.  ,DS,Role-Playing,0.88,0.50,0.29,0.01,0.08,2008
11285, Kingdoms of Amalur: Reckoning     ,38 Studios  ,X360,Role-Playing,0.87,0.55,0.24,0.01,0.07,2012
11286, Kingdom Hearts Re: Chain of Memories     ,Jupiter Corporation  ,PS2,Role-Playing,0.87,0.73,0.03,0.01,0.12,2008
